# x,y,theta,velocity,time
2.974534495296329961e+00,-4.294036442459913117e-01,-4.657614172068736541e-02,3.421359223300970864e+00,1.738851998937591553e+09
3.093037542236962700e+00,-4.322289334060649413e-01,1.819995459958544809e-02,3.424757281553397981e+00,1.738851998971790075e+09
3.206817096806514833e+00,-4.320079061919346319e-01,4.028240696524431480e-02,3.426456310679611761e+00,1.738851999007244349e+09
3.335736028467072956e+00,-4.272819273610385382e-01,1.666327091839758107e-02,3.426213592233009919e+00,1.738851999040440798e+09
3.481596421880338799e+00,-4.274172283642025949e-01,-3.118357727746957214e-02,3.427669902912621414e+00,1.738851999063145161e+09
3.539039480313678432e+00,-4.345595704330309506e-01,-4.237584058742085991e-02,3.427427184466019572e+00,1.738851999082327366e+09
3.581022192865643383e+00,-4.332006452556903531e-01,-5.031149569145568906e-02,3.425970873786407633e+00,1.738851999101631880e+09
3.615788522534181926e+00,-4.342800006288300985e-01,-5.971205991769593796e-02,3.424029126213592011e+00,1.738851999120693922e+09
3.676769526647045261e+00,-4.525199897307534136e-01,-1.373480988442379591e-01,3.423058252427184645e+00,1.738851999140436411e+09
3.726628181936392004e+00,-4.690061727959895510e-01,-1.423942897900287996e-01,3.418689320388349717e+00,1.738851999160993814e+09
3.775122267795227859e+00,-4.828130580533881444e-01,-1.442005760340903664e-01,3.417718446601941906e+00,1.738851999197126150e+09
3.897838881015790680e+00,-5.184850798639287772e-01,-2.523474168081448199e-01,3.409951456310679418e+00,1.738851999216016054e+09
3.943073234164809371e+00,-5.384760486528558099e-01,-2.564796553238251620e-01,3.408009708737864241e+00,1.738851999234167099e+09
4.015207259886897084e+00,-5.743785196138986304e-01,-3.689672759892302367e-01,3.401941747572815533e+00,1.738851999254964828e+09
4.070105209453222628e+00,-6.077975637567921696e-01,-3.743044672937498873e-01,3.401456310679611850e+00,1.738851999278328896e+09
4.109493714868847292e+00,-6.315459866556885071e-01,-3.704910514592638648e-01,3.396844660194174637e+00,1.738851999303748131e+09
4.174582457367969290e+00,-6.747296938188266369e-01,-4.880309116258372826e-01,3.391504854368931898e+00,1.738851999341221333e+09
4.269144437494229116e+00,-7.357201080464232934e-01,-4.979421146266060916e-01,3.389563106796116720e+00,1.738851999377588272e+09
4.362599711073994690e+00,-8.092870268798206812e-01,-6.186947662532801262e-01,3.391019417475728215e+00,1.738851999410295963e+09
4.389061680308166125e+00,-8.432087415655679097e-01,-6.278018267601011004e-01,3.389805825242718562e+00,1.738851999430965900e+09
4.412497757352567440e+00,-8.694184499806425492e-01,-6.311122001168127937e-01,3.391019417475728215e+00,1.738851999448891878e+09
4.451014532573092986e+00,-9.214347790406789418e-01,-7.471097962688544314e-01,3.390533980582524087e+00,1.738851999466834068e+09
4.480927579986640374e+00,-9.628357365596651452e-01,-7.602357941540800468e-01,3.393203883495145678e+00,1.738851999487194061e+09
4.509208192122397207e+00,-9.980578881996138296e-01,-7.677636116604089622e-01,3.393932038834951648e+00,1.738851999517970800e+09
4.608659871447812861e+00,-1.094479713530031262e+00,-8.424506499170076879e-01,3.397330097087378764e+00,1.738851999554547310e+09
4.676978189423566690e+00,-1.167691627465557991e+00,-8.727851015979509741e-01,3.402184466019417375e+00,1.738851999589967251e+09
4.739112035890140184e+00,-1.245378816397979760e+00,-9.493461599708252763e-01,3.405097087378640808e+00,1.738851999628002167e+09
4.803453378606923785e+00,-1.337829555930518222e+00,-9.818898532629375397e-01,3.407281553398058271e+00,1.738851999666789532e+09
4.873784708831170320e+00,-1.443299170585115476e+00,-1.018939168151059782e+00,3.410679611650485388e+00,1.738851999705959797e+09
4.959786615299014656e+00,-1.559127313896441658e+00,-1.016734080757852432e+00,3.417961165048543748e+00,1.738851999750644445e+09
5.039730262637023728e+00,-1.658913665058372011e+00,-1.063248776797361295e+00,3.421359223300970864e+00,1.738851999778712988e+09
5.166300282113429176e+00,-1.778238319557956082e+00,-1.052436446747800902e+00,3.427184466019417286e+00,1.738851999799554586e+09
5.208822194260994465e+00,-1.828299235538733747e+00,-1.077558535509335336e+00,3.428640776699029225e+00,1.738851999817146301e+09
5.240843830882718102e+00,-1.871664289029073558e+00,-1.099463667552167401e+00,3.428398058252427383e+00,1.738851999834366560e+09
5.267497857591635579e+00,-1.943156154516162193e+00,-1.044696431354902977e+00,3.428883495145631066e+00,1.738851999857704639e+09
5.288346164231703561e+00,-2.004176436243752857e+00,-1.063693654308120351e+00,3.431067961165048530e+00,1.738851999882927656e+09
5.302422541884139306e+00,-2.060155375964646041e+00,-1.082504563786609530e+00,3.432038834951456341e+00,1.738851999918081284e+09
5.361640947027390247e+00,-2.178444343375910197e+00,-1.064270271556234659e+00,3.432766990291262310e+00,1.738851999956227779e+09
5.395955655356305058e+00,-2.286197579766123145e+00,-1.097924354100750399e+00,3.432281553398058183e+00,1.738851999989880085e+09
5.433684865468824121e+00,-2.344645104512879996e+00,-1.107477025352575639e+00,3.431796116504854499e+00,1.738852000010892868e+09
5.451802898716887391e+00,-2.401718324712454944e+00,-1.124639757871800150e+00,3.432766990291262310e+00,1.738852000030920029e+09
5.459006909033087496e+00,-2.457148011168464041e+00,-1.136758683846390561e+00,3.429611650485437035e+00,1.738852000051037312e+09
5.498173075038520707e+00,-2.520770527056354737e+00,-1.205356763132921616e+00,3.428155339805825097e+00,1.738852000071210146e+09
5.513024202734185586e+00,-2.585347201418928265e+00,-1.221704729393574773e+00,3.426699029126213603e+00,1.738852000101646185e+09
5.523735760355929614e+00,-2.693503947583718805e+00,-1.238683890759740613e+00,3.424029126213592011e+00,1.738852000138267279e+09
5.568620776617671631e+00,-2.836602876790795147e+00,-1.361026428863008952e+00,3.417475728155339620e+00,1.738852000174994946e+09
5.589279012845131511e+00,-2.899384740291653717e+00,-1.459604605444407177e+00,3.414320388349514346e+00,1.738852000206012011e+09
5.585922667352362758e+00,-3.054542018471290810e+00,-1.490788801670755781e+00,3.410194174757281704e+00,1.738852000225109577e+09
