# time,x,y,theta
1.761199214946398497e+09,-1.993734121322631836e+00,9.907500445842742920e-02,2.747931003570556641e+00
1.761199215011394024e+09,-2.073680877685546875e+00,1.376974284648895264e-01,2.703041791915893555e+00
1.761199215077927589e+09,-2.163646221160888672e+00,1.868153512477874756e-01,2.650471210479736328e+00
1.761199215146684885e+09,-2.250049352645874023e+00,2.402987033128738403e-01,2.596973657608032227e+00
1.761199215211449146e+09,-2.320753335952758789e+00,2.899552881717681885e-01,2.546111583709716797e+00
1.761199215278276682e+09,-2.399243354797363281e+00,3.521456718444824219e-01,2.485633373260498047e+00
1.761199215346410036e+09,-2.473467588424682617e+00,4.187507033348083496e-01,2.425361633300781250e+00
1.761199215411490679e+09,-2.533625125885009766e+00,4.792056977748870850e-01,2.373837947845458984e+00
1.761199215478020430e+09,-2.599670648574829102e+00,5.534865856170654297e-01,2.313808441162109375e+00
1.761199215546506882e+09,-2.660699367523193359e+00,6.318078637123107910e-01,2.249676465988159180e+00
1.761199215611384869e+09,-2.708426237106323242e+00,7.021166682243347168e-01,2.191061735153198242e+00
1.761199215677894831e+09,-2.758609771728515625e+00,7.873878479003906250e-01,2.122185707092285156e+00
1.761199215746527433e+09,-2.803029298782348633e+00,8.754087090492248535e-01,2.057508468627929688e+00
1.761199215811247349e+09,-2.836769104003906250e+00,9.525643587112426758e-01,2.005228042602539062e+00
1.761199215877910614e+09,-2.870105266571044922e+00,1.044445753097534180e+00,1.938806772232055664e+00
1.761199215946386337e+09,-2.896832227706909180e+00,1.137907147407531738e+00,1.870923638343811035e+00
1.761199216011244774e+09,-2.914531946182250977e+00,1.218788027763366699e+00,1.813509941101074219e+00
1.761199216078024149e+09,-2.929889678955078125e+00,1.313525557518005371e+00,1.752961754798889160e+00
1.761199216146845341e+09,-2.938867330551147461e+00,1.408299088478088379e+00,1.688442587852478027e+00
1.761199216211296797e+09,-2.941356897354125977e+00,1.489263296127319336e+00,1.631767988204956055e+00
1.761199216278154373e+09,-2.938379049301147461e+00,1.582932472229003906e+00,1.565832376480102539e+00
1.761199216346542358e+09,-2.929227590560913086e+00,1.675357341766357422e+00,1.500379443168640137e+00
1.761199216411194801e+09,-2.916626214981079102e+00,1.753332376480102539e+00,1.444727659225463867e+00
1.761199216478010178e+09,-2.896560668945312500e+00,1.842560768127441406e+00,1.380286693572998047e+00
1.761199216546420336e+09,-2.870806217193603516e+00,1.929573297500610352e+00,1.315012574195861816e+00
1.761199216611262798e+09,-2.843831539154052734e+00,2.001814365386962891e+00,1.254530310630798340e+00
1.761199216677999735e+09,-2.806911706924438477e+00,2.083189487457275391e+00,1.183252215385437012e+00
1.761199216747051001e+09,-2.764472961425781250e+00,2.161183834075927734e+00,1.112358689308166504e+00
1.761199216811439514e+09,-2.723926305770874023e+00,2.225151538848876953e+00,1.051881551742553711e+00
1.761199216878008842e+09,-2.672015666961669922e+00,2.296195030212402344e+00,9.815919399261474609e-01
1.761199216947603703e+09,-2.615375518798828125e+00,2.363212823867797852e+00,9.116463065147399902e-01
1.761199217011373043e+09,-2.563218593597412109e+00,2.417328596115112305e+00,8.517783284187316895e-01
1.761199217078013420e+09,-2.498550415039062500e+00,2.476521253585815430e+00,7.840443253517150879e-01
1.761199217146516562e+09,-2.430476427078247070e+00,2.531799077987670898e+00,7.215523719787597656e-01
1.761199217211426497e+09,-2.369467735290527344e+00,2.575886964797973633e+00,6.686478853225708008e-01
1.761199217277916908e+09,-2.295299291610717773e+00,2.623312234878540039e+00,6.069576144218444824e-01
1.761199217346980095e+09,-2.218035459518432617e+00,2.666268110275268555e+00,5.450424551963806152e-01
1.761199217411297083e+09,-2.149653673171997070e+00,2.699827671051025391e+00,4.957980513572692871e-01
1.761199217477955341e+09,-2.067572116851806641e+00,2.735377311706542969e+00,4.411678016185760498e-01
1.761199217546740294e+09,-1.983021020889282227e+00,2.766788482666015625e+00,3.866658806800842285e-01
1.761199217611502409e+09,-1.908643603324890137e+00,2.790279150009155273e+00,3.397486209869384766e-01
1.761199217678838491e+09,-1.819836497306823730e+00,2.814266204833984375e+00,2.904748022556304932e-01
1.761199217749408484e+09,-1.728938579559326172e+00,2.834505558013916016e+00,2.428259253501892090e-01
1.761199217811726332e+09,-1.649447083473205566e+00,2.848880052566528320e+00,2.039361000061035156e-01
1.761199217881699324e+09,-1.555019140243530273e+00,2.862691879272460938e+00,1.632757931947708130e-01
1.761199217946713448e+09,-1.458723187446594238e+00,2.873048782348632812e+00,1.231370270252227783e-01
1.761199218011416435e+09,-1.374726414680480957e+00,2.879337310791015625e+00,9.141909331083297729e-02
1.761199218078035116e+09,-1.275083899497985840e+00,2.884103775024414062e+00,5.863032117486000061e-02
1.761199218147088766e+09,-1.173869848251342773e+00,2.885870933532714844e+00,2.671794593334197998e-02
1.761199218211444139e+09,-1.086221218109130859e+00,2.885524511337280273e+00,4.481955897063016891e-03
1.761199218277991295e+09,-9.832547903060913086e-01,2.882970333099365234e+00,6.263576507568359375e+00
1.761199218347709656e+09,-8.797816038131713867e-01,2.878326892852783203e+00,6.242872238159179688e+00
1.761199218411293745e+09,-7.908145785331726074e-01,2.873233795166015625e+00,6.229619026184082031e+00
1.761199218477963924e+09,-6.868192553520202637e-01,2.866026163101196289e+00,6.216362953186035156e+00
1.761199218547186613e+09,-5.826433897018432617e-01,2.858282804489135742e+00,6.209781169891357422e+00
1.761199218611423969e+09,-4.932552874088287354e-01,2.851238489151000977e+00,6.205420970916748047e+00
1.761199218678001881e+09,-3.888980746269226074e-01,2.842588663101196289e+00,6.201184272766113281e+00
1.761199218746415377e+09,-2.844280600547790527e-01,2.834312438964843750e+00,6.203600883483886719e+00
1.761199218811374664e+09,-1.948035359382629395e-01,2.827625751495361328e+00,6.207445144653320312e+00
1.761199218877963305e+09,-9.016879647970199585e-02,2.820278644561767578e+00,6.212267398834228516e+00
1.761199218947273970e+09,1.454376615583896637e-02,2.813639402389526367e+00,6.219304561614990234e+00
1.761199219011336088e+09,1.043845713138580322e-01,2.809174060821533203e+00,6.230473995208740234e+00
1.761199219077949047e+09,2.092740386724472046e-01,2.805367708206176758e+00,6.244736671447753906e+00
1.761199219147049427e+09,3.142148852348327637e-01,2.802856206893920898e+00,6.257045745849609375e+00
1.761199219211373806e+09,4.041793942451477051e-01,2.801083564758300781e+00,6.262484550476074219e+00
1.761199219277946949e+09,5.091519355773925781e-01,2.799493551254272461e+00,6.267601490020751953e+00
1.761199219347104311e+09,6.141354441642761230e-01,2.798420667648315430e+00,6.272441864013671875e+00
1.761199219411282778e+09,7.041271328926086426e-01,2.797913789749145508e+00,6.276597023010253906e+00
1.761199219477954388e+09,8.091211915016174316e-01,2.797800302505493164e+00,6.281474590301513672e+00
1.761199219546832561e+09,9.141162633895874023e-01,2.798191547393798828e+00,3.102537477388978004e-03
1.761199219611542940e+09,1.004110574722290039e+00,2.798934698104858398e+00,7.256307639181613922e-03
1.761199219677910089e+09,1.109099626541137695e+00,2.800276756286621094e+00,1.213492359966039658e-02
1.761199219747340679e+09,1.214083433151245117e+00,2.802032947540283203e+00,1.596789620816707611e-02
1.761199219811263084e+09,1.304074764251708984e+00,2.803204059600830078e+00,1.380401011556386948e-02
1.761199219877937555e+09,1.409070014953613281e+00,2.804094552993774414e+00,9.364316239953041077e-03
1.761199219947047472e+09,1.514068603515625000e+00,2.804487228393554688e+00,4.529465921223163605e-03
1.761199220011381865e+09,1.604067683219909668e+00,2.804306983947753906e+00,6.282264709472656250e+00
1.761199220077942133e+09,1.709053516387939453e+00,2.802661657333374023e+00,6.269495487213134766e+00
1.761199220147054911e+09,1.814004778861999512e+00,2.799499988555908203e+00,6.255226135253906250e+00
1.761199220211283445e+09,1.903918981552124023e+00,2.795586347579956055e+00,6.242788791656494141e+00
1.761199220278100729e+09,2.008739948272705078e+00,2.789488792419433594e+00,6.226919651031494141e+00
1.761199220346660852e+09,2.113384485244750977e+00,2.780890226364135742e+00,6.204457759857177734e+00
1.761199220411444664e+09,2.202892541885375977e+00,2.771508693695068359e+00,6.183913230895996094e+00
1.761199220478037119e+09,2.307047367095947266e+00,2.758234500885009766e+00,6.159749507904052734e+00
1.761199220546983242e+09,2.410850763320922852e+00,2.742444038391113281e+00,6.135486602783203125e+00
1.761199220611355543e+09,2.499440193176269531e+00,2.726592302322387695e+00,6.111552715301513672e+00
1.761199220678434849e+09,2.602144479751586914e+00,2.704780340194702148e+00,6.078614234924316406e+00
1.761199220746417999e+09,2.704054594039916992e+00,2.679515838623046875e+00,6.044851303100585938e+00
1.761199220811200142e+09,2.790683984756469727e+00,2.655128002166748047e+00,6.015784740447998047e+00
1.761199220877922058e+09,2.890611410140991211e+00,2.622915506362915039e+00,5.976409435272216797e+00
1.761199220948658228e+09,2.989024162292480469e+00,2.586333751678466797e+00,5.933331012725830078e+00
1.761199221011322737e+09,3.071975708007812500e+00,2.551632404327392578e+00,5.895990848541259766e+00
1.761199221078074694e+09,3.166685581207275391e+00,2.507431745529174805e+00,5.852399826049804688e+00
1.761199221147698641e+09,3.258288860321044922e+00,2.459543704986572266e+00,5.807559013366699219e+00
1.761199221211371422e+09,3.333697795867919922e+00,2.415220975875854492e+00,5.764070987701416016e+00
1.761199221277889967e+09,3.418037176132202148e+00,2.359827041625976562e+00,5.712335109710693359e+00
1.761199221347436666e+09,3.498344659805297852e+00,2.300791978836059570e+00,5.660965442657470703e+00
1.761199221411173820e+09,3.563665866851806641e+00,2.247091531753540039e+00,5.613153934478759766e+00
1.761199221477912903e+09,3.635396003723144531e+00,2.180831670761108398e+00,5.554272651672363281e+00
1.761199221546814919e+09,3.702300548553466797e+00,2.111046314239501953e+00,5.495403766632080078e+00
1.761199221611277819e+09,3.755789756774902344e+00,2.048661470413208008e+00,5.445322513580322266e+00
1.761199221677920341e+09,3.813272476196289062e+00,1.972876310348510742e+00,5.383247375488281250e+00
1.761199221747224331e+09,3.865031480789184570e+00,1.893820405006408691e+00,5.317471027374267578e+00
1.761199221811184406e+09,3.904862403869628906e+00,1.823775529861450195e+00,5.260977268218994141e+00
1.761199221877930164e+09,3.946064949035644531e+00,1.739592432975769043e+00,5.195261478424072266e+00
1.761199221946492910e+09,3.981525182723999023e+00,1.653099179267883301e+00,5.129796504974365234e+00
1.761199222011256218e+09,4.007278919219970703e+00,1.577400922775268555e+00,5.073767185211181641e+00
1.761199222077944040e+09,4.031821250915527344e+00,1.487632155418395996e+00,5.008373737335205078e+00
1.761199222146436691e+09,4.049618721008300781e+00,1.396673679351806641e+00,4.937149047851562500e+00
1.761199222211606741e+09,4.059345245361328125e+00,1.318129420280456543e+00,4.874433994293212891e+00
1.761199222278091431e+09,4.064338207244873047e+00,1.226328253746032715e+00,4.801299571990966797e+00
1.761199222346933842e+09,4.062558650970458984e+00,1.134941935539245605e+00,4.728364944458007812e+00
1.761199222411260366e+09,4.055734157562255859e+00,1.057314753532409668e+00,4.666216850280761719e+00
1.761199222477957487e+09,4.041728019714355469e+00,9.679862856864929199e-01,4.594106197357177734e+00
1.761199222546485662e+09,4.021385192871093750e+00,8.804259896278381348e-01,4.522293567657470703e+00
1.761199222611368656e+09,3.999074697494506836e+00,8.071253895759582520e-01,4.461111068725585938e+00
1.761199222677941561e+09,3.967538356781005859e+00,7.239018082618713379e-01,4.390107154846191406e+00
1.761199222746555090e+09,3.930267810821533203e+00,6.434396505355834961e-01,4.319343090057373047e+00
1.761199222811350346e+09,3.893923282623291016e+00,5.768805146217346191e-01,4.258904933929443359e+00
1.761199222877941370e+09,3.846573114395141602e+00,5.022724270820617676e-01,4.188560485839843750e+00
1.761199222946476936e+09,3.794095993041992188e+00,4.312152564525604248e-01,4.118215084075927734e+00
1.761199223011330605e+09,3.745233535766601562e+00,3.733749389648437500e-01,4.057961463928222656e+00
1.761199223078017712e+09,3.683921337127685547e+00,3.097143769264221191e-01,3.987809658050537109e+00
1.761199223146318197e+09,3.618675708770751953e+00,2.498629093170166016e-01,3.923426151275634766e+00
1.761199223211415291e+09,3.559806585311889648e+00,2.016360163688659668e-01,3.869887590408325195e+00
1.761199223277973652e+09,3.487692832946777344e+00,1.491451859474182129e-01,3.807452678680419922e+00
1.761199223346481562e+09,3.412065982818603516e+00,1.008104905486106873e-01,3.746061325073242188e+00
1.761199223411273479e+09,3.344856977462768555e+00,6.229262053966522217e-02,3.698031902313232422e+00
1.761199223477892160e+09,3.263692855834960938e+00,2.093485370278358459e-02,3.642891168594360352e+00
1.761199223546562672e+09,3.179790258407592773e+00,-1.674601249396800995e-02,3.591477155685424805e+00
1.761199223611283779e+09,3.105874300003051758e+00,-4.638193920254707336e-02,3.550445079803466797e+00
1.761199223678012848e+09,3.017222166061401367e+00,-7.759846001863479614e-02,3.502595901489257812e+00
1.761199223747049809e+09,2.926128149032592773e+00,-1.052986383438110352e-01,3.457377672195434570e+00
1.761199223811246634e+09,2.846297264099121094e+00,-1.266255229711532593e-01,3.422399282455444336e+00
1.761199223877962112e+09,2.751007795333862305e+00,-1.484673619270324707e-01,3.382040977478027344e+00
1.761199223946450233e+09,2.653609037399291992e+00,-1.675692200660705566e-01,3.347399711608886719e+00
1.761199224011272192e+09,2.568493843078613281e+00,-1.818041652441024780e-01,3.319415092468261719e+00
1.761199224077904224e+09,2.467602491378784180e+00,-1.957274079322814941e-01,3.287317991256713867e+00
1.761199224146749496e+09,2.365508317947387695e+00,-2.073944360017776489e-01,3.261423349380493164e+00
